Period_Index,Rep_Period,Rep_Period_Index
1,28,4
2,18,3
3,302,21
4,292,19
5,5,1
6,5,1
7,5,1
8,28,4
9,10,2
10,10,2
11,10,2
12,344,27
13,18,3
14,302,21
15,352,28
16,28,4
17,344,27
18,18,3
19,5,1
20,10,2
21,18,3
22,344,27
23,5,1
24,28,4
25,10,2
26,58,5
27,5,1
28,28,4
29,292,19
30,292,19
31,292,19
32,292,19
33,292,19
34,344,27
35,10,2
36,10,2
37,335,26
38,5,1
39,10,2
40,335,26
41,335,26
42,58,5
43,344,27
44,58,5
45,335,26
46,58,5
47,335,26
48,335,26
49,58,5
50,18,3
51,344,27
52,5,1
53,58,5
54,104,8
55,344,27
56,18,3
57,5,1
58,58,5
59,104,8
60,352,28
61,58,5
62,344,27
63,302,21
64,292,19
65,104,8
66,104,8
67,344,27
68,344,27
69,18,3
70,302,21
71,292,19
72,292,19
73,74,6
74,74,6
75,74,6
76,170,12
77,170,12
78,10,2
79,10,2
80,186,14
81,292,19
82,164,10
83,164,10
84,229,17
85,74,6
86,74,6
87,74,6
88,74,6
89,74,6
90,164,10
91,170,12
92,117,9
93,58,5
94,95,7
95,95,7
96,95,7
97,292,19
98,186,14
99,292,19
100,229,17
101,74,6
102,74,6
103,170,12
104,104,8
105,344,27
106,292,19
107,292,19
108,95,7
109,95,7
110,165,11
111,310,22
112,302,21
113,302,21
114,180,13
115,117,9
116,117,9
117,117,9
118,117,9
119,170,12
120,74,6
121,165,11
122,95,7
123,186,14
124,95,7
125,170,12
126,165,11
127,212,16
128,165,11
129,164,10
130,165,11
131,165,11
132,229,17
133,229,17
134,229,17
135,180,13
136,164,10
137,164,10
138,165,11
139,165,11
140,229,17
141,164,10
142,95,7
143,170,12
144,170,12
145,170,12
146,170,12
147,95,7
148,95,7
149,165,11
150,165,11
151,170,12
152,165,11
153,164,10
154,165,11
155,165,11
156,95,7
157,95,7
158,95,7
159,164,10
160,164,10
161,170,12
162,165,11
163,165,11
164,164,10
165,165,11
166,165,11
167,186,14
168,212,16
169,170,12
170,170,12
171,165,11
172,164,10
173,95,7
174,95,7
175,95,7
176,95,7
177,95,7
178,95,7
179,229,17
180,180,13
181,180,13
182,165,11
183,170,12
184,212,16
185,165,11
186,186,14
187,212,16
188,188,15
189,212,16
190,212,16
191,212,16
192,212,16
193,212,16
194,212,16
195,212,16
196,212,16
197,186,14
198,229,17
199,229,17
200,229,17
201,95,7
202,212,16
203,212,16
204,186,14
205,186,14
206,186,14
207,165,11
208,186,14
209,212,16
210,212,16
211,212,16
212,212,16
213,212,16
214,212,16
215,186,14
216,229,17
217,180,13
218,229,17
219,212,16
220,212,16
221,212,16
222,165,11
223,165,11
224,186,14
225,212,16
226,186,14
227,229,17
228,229,17
229,229,17
230,229,17
231,212,16
232,212,16
233,212,16
234,212,16
235,212,16
236,212,16
237,186,14
238,186,14
239,229,17
240,229,17
241,212,16
242,212,16
243,165,11
244,212,16
245,212,16
246,212,16
247,186,14
248,229,17
249,229,17
250,229,17
251,180,13
252,358,29
253,165,11
254,186,14
255,296,20
256,296,20
257,229,17
258,229,17
259,229,17
260,260,18
261,180,13
262,95,7
263,95,7
264,212,16
265,212,16
266,186,14
267,186,14
268,186,14
269,186,14
270,229,17
271,229,17
272,335,26
273,10,2
274,358,29
275,186,14
276,186,14
277,296,20
278,296,20
279,296,20
280,358,29
281,358,29
282,296,20
283,292,19
284,292,19
285,292,19
286,117,9
287,292,19
288,292,19
289,5,1
290,170,12
291,292,19
292,292,19
293,74,6
294,292,19
295,292,19
296,296,20
297,296,20
298,296,20
299,352,28
300,310,22
301,310,22
302,302,21
303,302,21
304,186,14
305,229,17
306,74,6
307,292,19
308,229,17
309,322,24
310,310,22
311,322,24
312,352,28
313,104,8
314,104,8
315,10,2
316,10,2
317,310,22
318,310,22
319,319,23
320,310,22
321,322,24
322,322,24
323,322,24
324,322,24
325,322,24
326,322,24
327,296,20
328,310,22
329,333,25
330,310,22
331,335,26
332,333,25
333,333,25
334,333,25
335,335,26
336,333,25
337,335,26
338,335,26
339,322,24
340,164,10
341,335,26
342,335,26
343,58,5
344,344,27
345,310,22
346,322,24
347,352,28
348,296,20
349,10,2
350,358,29
351,333,25
352,352,28
353,344,27
354,10,2
355,18,3
356,352,28
357,58,5
358,358,29
359,10,2
360,18,3
361,352,28
362,10,2
363,310,22
364,352,28
365,365,30
